import time: self [us] | cumulative | imported package
import time:       740 |       9509 |                       rich._log_render
import time:       380 |        380 |                       rich.highlighter
import time:       531 |        531 |                       rich.markup
import time:       321 |        321 |                       rich.pager
import time:       190 |        190 |                       rich.region
import time:       150 |        150 |                       rich.screen
import time:       199 |        199 |                       rich.styled
import time:      1952 |      20494 |                     rich.console
import time:       149 |        149 |                       rich.filesize
import time:       600 |        600 |                           rich.ansi
import time:       154 |        754 |                         rich.file_proxy
import time:       420 |        420 |                         rich.live_render
import time:       406 |       1580 |                       rich.live
import time:       429 |        429 |                       rich.progress_bar
import time:       814 |        814 |                         rich._spinners
import time:       249 |        249 |                           rich.box
import time:       179 |        179 |                           rich._ratio
import time:       165 |        165 |                           rich.padding
import time:      1213 |       1804 |                         rich.table
import time:       298 |       2916 |                       rich.spinner
import time:      1200 |       6272 |                     rich.progress
import time:       206 |        206 |                         pygments.filter
import time:       208 |        208 |                           pygments.token
import time:       429 |        636 |                         pygments.filters
import time:       173 |        173 |                         pygments.regexopt
import time:       526 |       1540 |                       pygments.lexer
import time:       403 |        403 |                       pygments.style
import time:       349 |        349 |                         pygments.styles._mapping
import time:       484 |        833 |                       pygments.styles
import time:       630 |       3404 |                     rich.syntax
import time:       574 |      41217 |                   httpx._main
import time:       417 |      57437 |                 httpx
import time:       904 |        904 |                         openai._types
import time:      1482 |       1482 |                                 sniffio._version
import time:       211 |        211 |                                 sniffio._impl
import time:       337 |       2029 |                               sniffio
import time:      1699 |       3727 |                             openai._utils._utils
import time:       479 |       4205 |                           openai._utils._logs
import time:       199 |        199 |                           openai._utils._path
import time:       318 |        318 |                                 anyio._core
import time:       508 |        826 |                               anyio._core._contextmanagers
import time:       532 |        532 |                                 anyio._core._exceptions
import time:       235 |        766 |                               anyio._core._eventloop
import time:       230 |        230 |                                 anyio.to_thread
import time:       347 |        347 |                                   anyio.abc._eventloop
import time:       308 |        308 |                                   anyio.abc._resources
import time:       197 |        197 |                                     anyio._core._typedattr
import time:       186 |        186 |                                       anyio.abc._tasks
import time:       427 |        612 |                                     anyio.abc._streams
import time:       400 |       1208 |                                   anyio.abc._sockets
import time:       436 |        436 |                                   anyio.abc._subprocesses
import time:       275 |        275 |                                   anyio.abc._testing
import time:       762 |        762 |                                     anyio.lowlevel
import time:       424 |        424 |                                     anyio._core._tasks
import time:       219 |        219 |                                     anyio._core._testing
import time:      1703 |       3107 |                                   anyio._core._synchronization
import time:       809 |        809 |                                   anyio.from_thread
import time:       365 |       6850 |                                 anyio.abc
import time:      1958 |       9037 |                               anyio._core._fileio
import time:       207 |        207 |                               anyio._core._resources
import time:       186 |        186 |                               anyio._core._signals
import time:       174 |        174 |                                   anyio.streams
import time:       636 |        810 |                                 anyio.streams.stapled
import time:       754 |        754 |                                 anyio.streams.tls
import time:       696 |       2260 |                               anyio._core._sockets
import time:      1058 |       1058 |                                 anyio.streams.memory
import time:       274 |       1332 |                               anyio._core._streams
import time:       168 |        168 |                               anyio._core._subprocesses
import time:       550 |        550 |                               anyio._core._tempfile
import time:       350 |      15677 |                             anyio
import time:       189 |      15865 |                           openai._utils._sync
import time:       261 |        261 |                           openai._utils._proxy
import time:      6145 |       6145 |                             openai._utils._datetime_parse
import time:       228 |       6372 |                           openai._utils._compat
import time:       289 |        289 |                           openai._utils._typing
import time:       215 |        215 |                           openai._utils._streams
import time:       273 |        273 |                             openai._files
import time:       299 |        572 |                           openai._utils._transform
import time:       194 |        194 |                           openai._utils._reflection
import time:       398 |      28566 |                         openai._utils
import time:       413 |        413 |                         openai._compat
import time:       313 |        313 |                         openai._constants
import time:       198 |        198 |                         pydantic._internal._serializers
import time:      3526 |      33919 |                       openai._models
import time:       486 |        486 |                       openai.types.batch_error
import time:       498 |        498 |                       openai.types.batch_usage
import time:       445 |        445 |                           openai.types.shared.metadata
import time:       234 |        234 |                             openai.types.shared.reasoning_effort
import time:       452 |        685 |                           openai.types.shared.reasoning
import time:       241 |        241 |                             openai.types.shared.chat_model
import time:       175 |        416 |                           openai.types.shared.all_models
import time:       254 |        254 |                           openai.types.shared.error_object
import time:       453 |        453 |                             openai.types.shared.comparison_filter
import time:       265 |        718 |                           openai.types.shared.compound_filter
import time:       246 |        246 |                           openai.types.shared.responses_model
import time:       165 |        165 |                           openai.types.shared.oauth_error_code
import time:       121 |        121 |                             openai.types.shared.function_parameters
import time:       282 |        402 |                           openai.types.shared.function_definition
import time:       664 |        664 |                           openai.types.shared.response_format_text
import time:       402 |        402 |                           openai.types.shared.custom_tool_input_format
import time:       210 |        210 |                           openai.types.shared.response_format_json_object
import time:       469 |        469 |                           openai.types.shared.response_format_json_schema
import time:       231 |        231 |                           openai.types.shared.response_format_text_python
import time:       259 |        259 |                           openai.types.shared.response_format_text_grammar
import time:       364 |       5923 |                         openai.types.shared
import time:        17 |       5939 |                       openai.types.shared.metadata
import time:       240 |        240 |                       openai.types.batch_request_counts
import time:      1669 |      42749 |                     openai.types.batch
import time:       402 |        402 |                     openai.types.image
import time:       379 |        379 |                     openai.types.model
import time:       388 |        388 |                     openai.types.skill
import time:       260 |        260 |                       openai.types.video_size
import time:       229 |        229 |                       openai.types.video_model
import time:       133 |        133 |                       openai.types.video_seconds
import time:       352 |        352 |                       openai.types.video_create_error
import time:      1364 |       2336 |                     openai.types.video
import time:       476 |        476 |                       openai.types.file_object
import time:       612 |       1087 |                     openai.types.upload
import time:       421 |        421 |                     openai.types.embedding
import time:       151 |        151 |                     openai.types.chat_model
import time:       656 |        656 |                       openai.types.completion_usage
import time:       632 |        632 |                       openai.types.completion_choice
import time:       299 |       1585 |                     openai.types.completion
import time:      1433 |       1433 |                     openai.types.moderation
import time:       481 |        481 |                     openai.types.skill_list
import time:       244 |        244 |                     openai.types.audio_model
import time:       283 |        283 |                     openai.types.image_model
import time:       133 |        133 |                     openai.types.file_content
import time:       244 |        244 |                     openai.types.file_deleted
import time:       133 |        133 |                     openai.types.file_purpose
import time:       566 |        566 |                     openai.types.vector_store
import time:       238 |        238 |                     openai.types.deleted_skill
import time:       222 |        222 |                     openai.types.model_deleted
import time:       237 |        237 |                     openai.types.embedding_model
import time:       715 |        715 |                     openai.types.images_response
import time:       209 |        209 |                     openai.types.eval_list_params
import time:       189 |        189 |                     openai.types.file_list_params
import time:       135 |        135 |                     openai.types.moderation_model
import time:       156 |        156 |                     openai.types.batch_list_params
import time:       373 |        373 |                     openai.types.image_edit_params
import time:       182 |        182 |                     openai.types.skill_list_params
import time:       194 |        194 |                     openai.types.video_edit_params
import time:       158 |        158 |                     openai.types.video_list_params
import time:       133 |        133 |                     openai.types.video_model_param
import time:       266 |        266 |                           openai.types.shared_params.metadata
import time:       324 |        324 |                           openai.types.shared_params.reasoning
import time:       118 |        118 |                           openai.types.shared_params.chat_model
import time:       257 |        257 |                             openai.types.shared_params.comparison_filter
import time:       318 |        575 |                           openai.types.shared_params.compound_filter
import time:       259 |        259 |                           openai.types.shared_params.responses_model
import time:       172 |        172 |                           openai.types.shared_params.oauth_error_code
import time:       132 |        132 |                           openai.types.shared_params.reasoning_effort
import time:       190 |        190 |                             openai.types.shared_params.function_parameters
import time:       267 |        457 |                           openai.types.shared_params.function_definition
import time:       190 |        190 |                           openai.types.shared_params.response_format_text
import time:       352 |        352 |                           openai.types.shared_params.custom_tool_input_format
import time:       293 |        293 |                           openai.types.shared_params.response_format_json_object
import time:       966 |        966 |                           openai.types.shared_params.response_format_json_schema
import time:       306 |       4402 |                         openai.types.shared_params
import time:        15 |       4417 |                       openai.types.shared_params.metadata
import time:       464 |        464 |                             openai.types.graders.python_grader
import time:       782 |        782 |                                       openai.types.responses.web_search_tool
import time:       524 |        524 |                                       openai.types.responses.custom_tool
import time:       422 |        422 |                                       openai.types.responses.computer_tool
import time:       502 |        502 |                                       openai.types.responses.function_tool
import time:       838 |        838 |                                       openai.types.responses.namespace_tool
import time:       654 |        654 |                                       openai.types.responses.apply_patch_tool
import time:       686 |        686 |                                       openai.types.responses.file_search_tool
import time:       341 |        341 |                                       openai.types.responses.tool_search_tool
import time:       948 |        948 |                                             openai.types.responses.inline_skill_source
import time:       425 |       1373 |                                           openai.types.responses.inline_skill
import time:       577 |        577 |                                           openai.types.responses.skill_reference
import time:       373 |        373 |                                           openai.types.responses.container_network_policy_disabled
import time:       354 |        354 |                                             openai.types.responses.container_network_policy_domain_secret
import time:       386 |        740 |                                           openai.types.responses.container_network_policy_allowlist
import time:       622 |       3683 |                                         openai.types.responses.container_auto
import time:       211 |        211 |                                           openai.types.responses.local_skill
import time:       257 |        467 |                                         openai.types.responses.local_environment
import time:       296 |        296 |                                         openai.types.responses.container_reference
import time:       333 |       4778 |                                       openai.types.responses.function_shell_tool
import time:       431 |        431 |                                       openai.types.responses.web_search_preview_tool
import time:       289 |        289 |                                       openai.types.responses.computer_use_preview_tool
import time:      3150 |      13391 |                                     openai.types.responses.tool
import time:       457 |        457 |                                       openai.types.responses.response_error
import time:       526 |        526 |                                       openai.types.responses.response_usage
import time:       678 |        678 |                                         openai.types.responses.response_input_file
import time:       568 |        568 |                                         openai.types.responses.response_input_text
import time:       429 |        429 |                                         openai.types.responses.response_input_image
import time:       522 |       2197 |                                       openai.types.responses.response_prompt
import time:       331 |        331 |                                       openai.types.responses.response_status
import time:       404 |        404 |                                       openai.types.responses.tool_choice_mcp
import time:       308 |        308 |                                       openai.types.responses.tool_choice_shell
import time:       262 |        262 |                                       openai.types.responses.tool_choice_types
import time:       263 |        263 |                                       openai.types.responses.tool_choice_custom
import time:       124 |        124 |                                             openai.types.responses.response_input_content
import time:       181 |        305 |                                           openai.types.responses.response_input_message_content_list
import time:       443 |        747 |                                         openai.types.responses.easy_input_message
import time:       831 |        831 |                                           openai.types.responses.response_output_text
import time:       283 |        283 |                                           openai.types.responses.response_output_refusal
import time:       604 |       1718 |                                         openai.types.responses.response_output_message
import time:       628 |        628 |                                         openai.types.responses.response_reasoning_item
import time:       629 |        629 |                                         openai.types.responses.response_custom_tool_call
import time:      1179 |       1179 |                                             openai.types.responses.computer_action
import time:       202 |       1380 |                                           openai.types.responses.computer_action_list
import time:      1422 |       2802 |                                         openai.types.responses.response_computer_tool_call
import time:      1079 |       1079 |                                         openai.types.responses.response_function_tool_call
import time:      1068 |       1068 |                                         openai.types.responses.response_function_web_search
import time:      1852 |       1852 |                                         openai.types.responses.response_compaction_item_param
import time:      1181 |       1181 |                                         openai.types.responses.response_file_search_tool_call
import time:       725 |        725 |                                         openai.types.responses.response_custom_tool_call_output
import time:       853 |        853 |                                         openai.types.responses.response_code_interpreter_tool_call
import time:       282 |        282 |                                         openai.types.responses.response_tool_search_output_item_param
import time:       373 |        373 |                                             openai.types.responses.response_input_file_content
import time:       398 |        398 |                                             openai.types.responses.response_input_text_content
import time:       447 |        447 |                                             openai.types.responses.response_input_image_content
import time:       216 |       1433 |                                           openai.types.responses.response_function_call_output_item
import time:       241 |       1673 |                                         openai.types.responses.response_function_call_output_item_list
import time:       384 |        384 |                                         openai.types.responses.response_function_shell_call_output_content
import time:       221 |        221 |                                         openai.types.responses.response_computer_tool_call_output_screenshot
import time:      6261 |      22095 |                                       openai.types.responses.response_input_item
import time:       275 |        275 |                                       openai.types.responses.tool_choice_allowed
import time:       126 |        126 |                                       openai.types.responses.tool_choice_options
import time:       220 |        220 |                                         openai.types.responses.response_compaction_item
import time:       246 |        246 |                                         openai.types.responses.response_tool_search_call
import time:       870 |        870 |                                         openai.types.responses.response_apply_patch_tool_call
import time:       255 |        255 |                                         openai.types.responses.response_tool_search_output_item
import time:       336 |        336 |                                           openai.types.responses.response_local_environment
import time:       244 |        244 |                                           openai.types.responses.response_container_reference
import time:       608 |       1187 |                                         openai.types.responses.response_function_shell_tool_call
import time:       582 |        582 |                                         openai.types.responses.response_apply_patch_tool_call_output
import time:       436 |        436 |                                         openai.types.responses.response_custom_tool_call_output_item
import time:       536 |        536 |                                         openai.types.responses.response_computer_tool_call_output_item
import time:       628 |        628 |                                         openai.types.responses.response_function_tool_call_output_item
import time:       779 |        779 |                                         openai.types.responses.response_function_shell_tool_call_output
import time:      1770 |       7504 |                                       openai.types.responses.response_output_item
import time:       409 |        409 |                                           openai.types.responses.response_format_text_json_schema_config
import time:       230 |        639 |                                         openai.types.responses.response_format_text_config
import time:       475 |       1113 |                                       openai.types.responses.response_text_config
import time:       322 |        322 |                                       openai.types.responses.tool_choice_function
import time:       258 |        258 |                                       openai.types.responses.tool_choice_apply_patch
import time:      2025 |      38456 |                                     openai.types.responses.response
import time:       334 |        334 |                                       openai.types.responses.web_search_tool_param
import time:       332 |        332 |                                             openai.types.chat.chat_completion_audio
import time:       347 |        347 |                                               openai.types.chat.chat_completion_message_custom_tool_call
import time:       369 |        369 |                                               openai.types.chat.chat_completion_message_function_tool_call
import time:       216 |        931 |                                             openai.types.chat.chat_completion_message_tool_call
import time:      1279 |       2541 |                                           openai.types.chat.chat_completion_message
import time:       449 |        449 |                                           openai.types.chat.chat_completion_token_logprob
import time:      1307 |       4295 |                                         openai.types.chat.chat_completion
import time:       134 |        134 |                                         openai.types.chat.chat_completion_role
import time:      1600 |       1600 |                                         openai.types.chat.chat_completion_chunk
import time:       233 |        233 |                                         openai.types.chat.completion_list_params
import time:       282 |        282 |                                           openai.types.chat.parsed_function_tool_call
import time:       657 |        939 |                                         openai.types.chat.parsed_chat_completion
import time:       318 |        318 |                                         openai.types.chat.chat_completion_deleted
import time:       232 |        232 |                                         openai.types.chat.chat_completion_modality
import time:       272 |        272 |                                           openai.types.chat.chat_completion_audio_param
import time:       287 |        287 |                                               openai.types.chat.chat_completion_content_part_text_param
import time:       249 |        535 |                                             openai.types.chat.chat_completion_tool_message_param
import time:       390 |        390 |                                                 openai.types.chat.chat_completion_content_part_image_param
import time:       500 |        500 |                                                 openai.types.chat.chat_completion_content_part_input_audio_param
import time:       323 |       1212 |                                               openai.types.chat.chat_completion_content_part_param
import time:       275 |       1486 |                                             openai.types.chat.chat_completion_user_message_param
import time:       985 |        985 |                                             openai.types.chat.chat_completion_system_message_param
import time:      2244 |       2244 |                                             openai.types.chat.chat_completion_function_message_param
import time:       219 |        219 |                                               openai.types.chat.chat_completion_content_part_refusal_param
import time:       253 |        253 |                                                 openai.types.chat.chat_completion_message_custom_tool_call_param
import time:       130 |        130 |                                                 openai.types.chat.chat_completion_message_function_tool_call_param
import time:       206 |        588 |                                               openai.types.chat.chat_completion_message_tool_call_union_param
import time:       343 |       1149 |                                             openai.types.chat.chat_completion_assistant_message_param
import time:       119 |        119 |                                             openai.types.chat.chat_completion_developer_message_param
import time:       248 |       6764 |                                           openai.types.chat.chat_completion_message_param
import time:   1023357 |    1023357 |                                             openai.types.chat.chat_completion_custom_tool_param
import time:    937125 |     937125 |                                             openai.types.chat.chat_completion_function_tool_param
import time:       612 |    1961094 |                                           openai.types.chat.chat_completion_tool_union_param
import time:    981564 |     981564 |                                           openai.types.chat.chat_completion_stream_options_param
import time:    970067 |     970067 |                                           openai.types.chat.chat_completion_prediction_content_param
import time:    941435 |     941435 |                                             openai.types.chat.chat_completion_named_tool_choice_param
import time:    936253 |     936253 |                                               openai.types.chat.chat_completion_allowed_tools_param
import time:    957499 |    1893751 |                                             openai.types.chat.chat_completion_allowed_tool_choice_param
import time:    860792 |     860792 |                                             openai.types.chat.chat_completion_named_tool_choice_custom_param
import time:    941956 |    4637932 |                                           openai.types.chat.chat_completion_tool_choice_option_param
import time:    961760 |     961760 |                                           openai.types.chat.chat_completion_function_call_option_param
import time:      3934 |    9523383 |                                         openai.types.chat.completion_create_params
import time:   1025096 |    1025096 |                                         openai.types.chat.completion_update_params
import time:    955733 |     955733 |                                         openai.types.chat.chat_completion_tool_param
import time:    960164 |     960164 |                                         openai.types.chat.chat_completion_function_tool
import time:    971019 |     971019 |                                           openai.types.chat.chat_completion_content_part_text
import time:    932268 |     932268 |                                           openai.types.chat.chat_completion_content_part_image
import time:    965826 |    2869112 |                                         openai.types.chat.chat_completion_store_message
import time:    919253 |     919253 |                                         openai.types.chat.chat_completion_reasoning_effort
import time:    910241 |     910241 |                                         openai.types.chat.chat_completion_message_tool_call_param
import time:      1559 |   17172285 |                                       openai.types.chat
import time:    922101 |     922101 |                                       openai.types.responses.custom_tool_param
import time:    956760 |     956760 |                                       openai.types.responses.computer_tool_param
import time:    998710 |     998710 |                                       openai.types.responses.function_tool_param
import time:   1130536 |    1130536 |                                       openai.types.responses.namespace_tool_param
import time:    956798 |     956798 |                                       openai.types.responses.apply_patch_tool_param
import time:    924597 |     924597 |                                       openai.types.responses.file_search_tool_param
import time:    969346 |     969346 |                                       openai.types.responses.tool_search_tool_param
import time:    941356 |     941356 |                                             openai.types.responses.inline_skill_source_param
import time:   1021014 |    1962370 |                                           openai.types.responses.inline_skill_param
import time:    932380 |     932380 |                                           openai.types.responses.skill_reference_param
import time:   1103777 |    1103777 |                                           openai.types.responses.container_network_policy_disabled_param
import time:    916322 |     916322 |                                             openai.types.responses.container_network_policy_domain_secret_param
import time:    964810 |    1881132 |                                           openai.types.responses.container_network_policy_allowlist_param
import time:   1110992 |    6990648 |                                         openai.types.responses.container_auto_param
import time:   1123220 |    1123220 |                                           openai.types.responses.local_skill_param
import time:    984709 |    2107928 |                                         openai.types.responses.local_environment_param
import time:   1007935 |    1007935 |                                         openai.types.responses.container_reference_param
import time:    971965 |   11078474 |                                       openai.types.responses.function_shell_tool_param
import time:    950923 |     950923 |                                       openai.types.responses.web_search_preview_tool_param
import time:    969344 |     969344 |                                       openai.types.responses.computer_use_preview_tool_param
import time:      7468 |   37037669 |                                     openai.types.responses.tool_param
import time:   1006060 |    1006060 |                                       openai.types.responses.response_input_message_item
import time:   1010724 |    1010724 |                                       openai.types.responses.response_custom_tool_call_item
import time:    936643 |     936643 |                                       openai.types.responses.response_function_tool_call_item
import time:    941500 |    3894925 |                                     openai.types.responses.response_item
import time:    994710 |     994710 |                                     openai.types.responses.response_input
import time:    983204 |     983204 |                                     openai.types.responses.parsed_response
import time:    455175 |     455175 |                                     openai.types.responses.compacted_response
import time:      1194 |   43418721 |                                   openai.types.responses
import time:        63 |   43418783 |                                 openai.types.responses.response_input_text
import time:       152 |   43418935 |                               openai.types.graders.grader_inputs
import time:       159 |   43419094 |                             openai.types.graders.label_model_grader
import time:       446 |   43420002 |                           openai.types.graders.multi_grader
import time:       191 |   43420192 |                         openai.types.graders
import time:        41 |   43420233 |                       openai.types.graders.grader_inputs_param
import time:       279 |   43424927 |                     openai.types.eval_create_params
import time:       621 |   43481689 |                   openai.types
import time:       461 |   43482150 |                 openai
import time:       638 |   43540223 |               livekit.agents.inference.llm
import time:       377 |   43553611 |             livekit.agents.inference
import time:       588 |   43554198 |           livekit.agents.voice.agent
import time:       681 |   43588337 |         livekit.agents.voice.io
import time:       410 |   43588746 |       livekit.agents.voice
import time:       378 |   44317711 |     livekit.agents.cli.cli
import time:       581 |   44318292 |   livekit.agents.cli
import time:       984 |   44324276 | livekit.agents
Traceback (most recent call last):
  File "<string>", line 1, in <module>
    from livekit.agents import AgentServer
  File "/Users/reece/Library/CloudStorage/GoogleDrive-reecegola101@gmail.com/My Drive/L.U.N.A./luna-0.1/venv/lib/python3.13/site-packages/livekit/agents/__init__.py", line 23, in <module>
    from . import cli, inference, ipc, llm, metrics, stt, tokenize, tts, utils, vad, voice
  File "/Users/reece/Library/CloudStorage/GoogleDrive-reecegola101@gmail.com/My Drive/L.U.N.A./luna-0.1/venv/lib/python3.13/site-packages/livekit/agents/cli/__init__.py", line 1, in <module>
    from .cli import AgentsConsole, run_app
  File "/Users/reece/Library/CloudStorage/GoogleDrive-reecegola101@gmail.com/My Drive/L.U.N.A./luna-0.1/venv/lib/python3.13/site-packages/livekit/agents/cli/cli.py", line 13, in <module>
    from ..voice import AgentSession, io
  File "/Users/reece/Library/CloudStorage/GoogleDrive-reecegola101@gmail.com/My Drive/L.U.N.A./luna-0.1/venv/lib/python3.13/site-packages/livekit/agents/voice/__init__.py", line 1, in <module>
    from . import io, run_result
  File "/Users/reece/Library/CloudStorage/GoogleDrive-reecegola101@gmail.com/My Drive/L.U.N.A./luna-0.1/venv/lib/python3.13/site-packages/livekit/agents/voice/io.py", line 14, in <module>
    from .agent import ModelSettings
  File "/Users/reece/Library/CloudStorage/GoogleDrive-reecegola101@gmail.com/My Drive/L.U.N.A./luna-0.1/venv/lib/python3.13/site-packages/livekit/agents/voice/agent.py", line 12, in <module>
    from .. import inference, llm, stt, tokenize, tts, utils, vad
  File "/Users/reece/Library/CloudStorage/GoogleDrive-reecegola101@gmail.com/My Drive/L.U.N.A./luna-0.1/venv/lib/python3.13/site-packages/livekit/agents/inference/__init__.py", line 10, in <module>
    from .llm import LLM, LLMModels, LLMStream
  File "/Users/reece/Library/CloudStorage/GoogleDrive-reecegola101@gmail.com/My Drive/L.U.N.A./luna-0.1/venv/lib/python3.13/site-packages/livekit/agents/inference/llm.py", line 8, in <module>
    import openai
  File "/Users/reece/Library/CloudStorage/GoogleDrive-reecegola101@gmail.com/My Drive/L.U.N.A./luna-0.1/venv/lib/python3.13/site-packages/openai/__init__.py", line 9, in <module>
    from . import types
  File "/Users/reece/Library/CloudStorage/GoogleDrive-reecegola101@gmail.com/My Drive/L.U.N.A./luna-0.1/venv/lib/python3.13/site-packages/openai/types/__init__.py", line 63, in <module>
    from .eval_create_params import EvalCreateParams as EvalCreateParams
  File "/Users/reece/Library/CloudStorage/GoogleDrive-reecegola101@gmail.com/My Drive/L.U.N.A./luna-0.1/venv/lib/python3.13/site-packages/openai/types/eval_create_params.py", line 10, in <module>
    from .graders.grader_inputs_param import GraderInputsParam
  File "/Users/reece/Library/CloudStorage/GoogleDrive-reecegola101@gmail.com/My Drive/L.U.N.A./luna-0.1/venv/lib/python3.13/site-packages/openai/types/graders/__init__.py", line 5, in <module>
    from .multi_grader import MultiGrader as MultiGrader
  File "/Users/reece/Library/CloudStorage/GoogleDrive-reecegola101@gmail.com/My Drive/L.U.N.A./luna-0.1/venv/lib/python3.13/site-packages/openai/types/graders/multi_grader.py", line 8, in <module>
    from .label_model_grader import LabelModelGrader
  File "/Users/reece/Library/CloudStorage/GoogleDrive-reecegola101@gmail.com/My Drive/L.U.N.A./luna-0.1/venv/lib/python3.13/site-packages/openai/types/graders/label_model_grader.py", line 7, in <module>
    from .grader_inputs import GraderInputs
  File "/Users/reece/Library/CloudStorage/GoogleDrive-reecegola101@gmail.com/My Drive/L.U.N.A./luna-0.1/venv/lib/python3.13/site-packages/openai/types/graders/grader_inputs.py", line 7, in <module>
    from ..responses.response_input_text import ResponseInputText
  File "/Users/reece/Library/CloudStorage/GoogleDrive-reecegola101@gmail.com/My Drive/L.U.N.A./luna-0.1/venv/lib/python3.13/site-packages/openai/types/responses/__init__.py", line 41, in <module>
    from .compacted_response import CompactedResponse as CompactedResponse
  File "<frozen importlib._bootstrap>", line 1360, in _find_and_load
  File "<frozen importlib._bootstrap>", line 1331, in _find_and_load_unlocked
  File "<frozen importlib._bootstrap>", line 935, in _load_unlocked
  File "<frozen importlib._bootstrap_external>", line 1022, in exec_module
  File "<frozen importlib._bootstrap_external>", line 1118, in get_code
  File "<frozen importlib._bootstrap_external>", line 1218, in get_data
KeyboardInterrupt
